accidentDate;accidentTime;accidentDay;settlementType;settlement;district;streetType;streetName;houseNumber;locationComments;accidentType;mainAccidentCause;totalParticipantsAmount;injuryStatusParticipant1;injuryStatusParticipant2;latitude;longitude
2022-06-12;18:52:00;неділя;місто;Львів;Сихівський;вулиця;Мирного Панаса;32;null;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;порушення правил маневрування;2;без ушкоджень;легко травмований;49.814897;24.032464
2022-06-23;17:02:00;четвер;місто;Львів;Залізничний;вулиця;Виговського І.;100;null;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;недодержання дистанції;2;без ушкоджень;легко травмований;49.81322;23.9771
2022-06-23;10:04:00;четвер;місто;Львів;Залізничний;вулиця;Кульпарківська;226;null;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;порушення правил маневрування;2;без ушкоджень;легко травмований;49.80502;23.981196
2022-09-25;13:14:00;неділя;місто;Львів;Личаківський;вулиця;Кармалюка У.;3;null;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;порушення правил маневрування;2;без ушкоджень;легко травмований;49.83966;24.04852
2022-10-03;23:49:00;понеділок;місто;Львів;Личаківський;вулиця;Руставелі Ш.;null;вул. Руставелі Ш. - вул. Костомарова М.;наїзд на велосипедиста - велосипедист рухався у зустрічному напрямку;порушення правил проїзду перехресть;2;без ушкоджень;тяжко травмований;49.832045;24.034857
2022-10-19;13:30:00;середа;місто;Львів;Франківський;вулиця;Городоцька;211;null;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;порушення правил проїзду перехресть;2;без ушкоджень;легко травмований;49.833177;23.982661
2022-10-07;16:01:00;п'ятниця;місто;Львів;Франківський;вулиця;Рубчака І.;4;null;наїзд на велосипедиста - поза межами велосипедної доріжки;порушення правил маневрування;2;без ушкоджень;легко травмований;49.805616;24.016714
2022-09-16;10:46:00;п'ятниця;місто;Львів;Шевченківський;вулиця;Гайдамацька;6;null;наїзд на велосипедиста - поза межами велосипедної доріжки;порушення правил проїзду перехресть;2;без ушкоджень;легко травмований;49.852639;24.028822
2022-12-01;16:24:00;четвер;селище;Брюховичі;Шевченківський;вулиця;Незалежності України;null;вул. Незалежності України - вул. Сухомлинського;наїзд на велосипедиста - велосипедист рухався у зустрічному напрямку;невиконання вимог сигналів регулювання;2;без ушкоджень;легко травмований;49.902026;23.941489
2022-12-30;20:02:00;п'ятниця;місто;Львів;Франківський;вулиця;Кульпарківська;null;вул. Кульпарківська - вул. Перфецького Л.;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;недодержання дистанції;2;без ушкоджень;легко травмований;49.815007;23.985665
2021-03-31;16:01:00;середа;місто;Львів;Личаківський;вулиця;Личаківська;42;null;наїзд на велосипедиста - поза межами велосипедної доріжки;порушення правил маневрування;2;без ушкоджень;легко травмований;49.798706;24.071113
2021-04-22;7:35:00;четвер;місто;Львів;Шевченківський;вулиця;Грінченка Б.;null;null;наїзд на велосипедиста - поза межами велосипедної доріжки;перевищення безпечної швидкості;2;без ушкоджень;легко травмований;49.795356;24.054246
2021-04-26;18:50:00;понеділок;місто;Львів;Шевченківський;проспект;Чорновола В., просп.;45;null;наїзд на велосипедиста - поза межами велосипедної доріжки;недодержання дистанції;2;без ушкоджень;легко травмований;49.852518;24.023629
2021-04-01;19:50:00;четвер;місто;Львів;Галицький;площа;Святого Юра, пл.;1;null;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;порушення правил проїзду пішохідних переходів,порушення правил маневрування,перевищення безпечної швидкості;2;без ушкоджень;легко травмований;49.836519;24.013211
